Azimuth/deg,Zenith/deg
152.95,46.978
152.01,45.518
153.47,49.858
152.59,48.442
151.7,46.983
150.81,45.481
152.11,49.941
151.28,48.487
150.45,46.989
149.62,45.445
150.75,50.022
149.97,48.532
149.2,46.995
148.43,45.41
149.39,50.102
148.67,48.576
147.95,47.002
147.24,45.377
148.03,50.181
147.36,48.62
146.7,47.009
146.04,45.345
146.67,50.258
146.05,48.663
145.44,47.016
144.85,45.314
145.31,50.335
144.74,48.707
144.19,47.024
143.66,45.284
143.94,50.409
143.43,48.749
142.94,47.033
142.47,45.256
142.58,50.483
142.12,48.792
141.69,47.042
141.28,45.229
141.22,50.555
140.82,48.833
140.44,47.052
140.1,45.204
139.86,50.625
139.51,48.875
139.19,47.062
138.91,45.181
138.49,50.694
138.2,48.916
137.94,47.072
137.72,45.158
137.13,50.762
136.89,48.956
136.69,47.083
136.53,45.138
135.77,50.828
135.58,48.996
135.44,47.095
135.35,45.119
134.4,50.893
134.27,49.035
134.19,47.107
134.16,45.101
133.04,50.956
132.96,49.074
132.93,47.12
132.98,45.085
131.68,51.018
131.65,49.113
131.68,47.133
131.79,45.071
130.31,51.078
130.34,49.151
130.43,47.147
130.6,45.059
128.95,51.137
129.03,49.188
129.18,47.162
129.42,45.048
127.59,51.194
127.72,49.225
127.93,47.177
128.23,45.039
126.22,51.249
126.41,49.262
126.68,47.192
127.05,45.031
124.86,51.303
125.1,49.298
125.43,47.209
125.86,45.026
123.5,51.356
123.79,49.333
124.18,47.225
124.67,45.022
122.13,51.407
122.48,49.368
122.92,47.243
123.49,45.02
120.77,51.456
121.17,49.402
121.67,47.261
122.3,45.02
119.41,51.503
119.86,49.436
120.42,47.279
121.11,45.021
118.05,51.549
118.55,49.469
119.17,47.299
119.93,45.025
116.68,51.594
117.24,49.502
117.91,47.318
118.74,45.03
115.32,51.637
115.93,49.534
116.66,47.339
117.55,45.037
113.96,51.678
114.62,49.566
115.41,47.36
116.36,45.046
112.6,51.717
113.31,49.597
114.16,47.382
115.17,45.057
111.24,51.755
112,49.628
112.9,47.404
113.98,45.069
109.88,51.791
110.69,49.658
111.65,47.427
112.79,45.084
108.52,51.826
109.38,49.687
110.39,47.451
111.59,45.1
107.17,51.859
108.08,49.716
109.14,47.475
110.4,45.119
105.81,51.89
106.77,49.745
